Date;Minimum temperature;Maximum temperature;Mean temperature;Precipitation;Build
01.06.2020;8.2;25.9;17.3;0;NONE
02.06.2020;10.6;25.6;18.1;0;1
03.06.2020;10.2;22.8;15.9;0;1
04.06.2020;12.4;18.9;14.4;0;1
05.06.2020;10.9;16.6;12.6;0;1
06.06.2020;9.4;12.5;11;17.9;NONE
07.06.2020;10.3;13.3;11.8;5;NONE
08.06.2020;8.3;17.7;11.8;0.2;NONE
09.06.2020;6.4;17.6;12.7;0;2
10.06.2020;8.6;22.2;15.3;0.6;2
11.06.2020;11;26.6;18.7;0;2
12.06.2020;12.4;25.9;19.3;0;2
13.06.2020;10.5;26;18.5;0;3
14.06.2020;9.8;24.9;18.3;0;3
15.06.2020;9.1;29.1;18.9;0;3
16.06.2020;14.4;29.1;20.4;0;3
17.06.2020;14.1;26.2;19.7;2;3
18.06.2020;12;27.5;19.5;0;3
19.06.2020;13.6;30.8;22.5;0;3
