part_name;build;part_index;x_pos;y_pos;z_pos;angle;center_x;center_y;center_z
Leirmo_Exp1_Build1_#1;1;1;1;1;1;70;70;70;50.88
Leirmo_Exp1_Build1_#2;1;2;2;1;1;140;170;70;50.88
Leirmo_Exp1_Build1_#3;1;3;3;1;1;-90;270;70;50.88
Leirmo_Exp1_Build1_#4;1;4;1;2;1;145;70;170;50.88
Leirmo_Exp1_Build1_#5;1;5;2;2;1;165;170;170;50.88
Leirmo_Exp1_Build1_#6;1;6;3;2;1;120;270;170;50.88
Leirmo_Exp1_Build1_#7;1;7;1;3;1;110;70;270;50.88
Leirmo_Exp1_Build1_#8;1;8;2;3;1;-90;170;270;50.88
Leirmo_Exp1_Build1_#9;1;9;3;3;1;35;270;270;50.88
Leirmo_Exp1_Build1_#10;1;10;1;1;2;20;70;70;150.6
Leirmo_Exp1_Build1_#11;1;11;2;1;2;15;170;70;150.6
Leirmo_Exp1_Build1_#12;1;12;3;1;2;55;270;70;150.6
Leirmo_Exp1_Build1_#13;1;13;1;2;2;135;70;170;150.6
Leirmo_Exp1_Build1_#14;1;14;2;2;2;75;170;170;150.6
Leirmo_Exp1_Build1_#15;1;15;3;2;2;115;270;170;150.6
Leirmo_Exp1_Build1_#16;1;16;1;3;2;60;70;270;150.6
Leirmo_Exp1_Build1_#17;1;17;2;3;2;-90;170;270;150.6
Leirmo_Exp1_Build1_#18;1;18;3;3;2;40;270;270;150.6
Leirmo_Exp1_Build1_#19;1;19;1;1;3;80;70;70;250.32
Leirmo_Exp1_Build1_#20;1;20;2;1;3;130;170;70;250.32
Leirmo_Exp1_Build1_#21;1;21;3;1;3;-90;270;70;250.32
Leirmo_Exp1_Build1_#22;1;22;1;2;3;5;70;170;250.32
Leirmo_Exp1_Build1_#23;1;23;2;2;3;125;170;170;250.32
Leirmo_Exp1_Build1_#24;1;24;3;2;3;0;270;170;250.32
Leirmo_Exp1_Build1_#25;1;25;1;3;3;45;70;270;250.32
Leirmo_Exp1_Build1_#26;1;26;2;3;3;-90;170;270;250.32
Leirmo_Exp1_Build1_#27;1;27;3;3;3;100;270;270;250.32
Leirmo_Exp1_Build1_#28;1;28;1;1;4;65;70;70;350.04
Leirmo_Exp1_Build1_#29;1;29;2;1;4;170;170;70;350.04
Leirmo_Exp1_Build1_#30;1;30;3;1;4;95;270;70;350.04
Leirmo_Exp1_Build1_#31;1;31;1;2;4;175;70;170;350.04
Leirmo_Exp1_Build1_#32;1;32;2;2;4;85;170;170;350.04
Leirmo_Exp1_Build1_#33;1;33;3;2;4;30;270;170;350.04
Leirmo_Exp1_Build1_#34;1;34;1;3;4;150;70;270;350.04
Leirmo_Exp1_Build1_#35;1;35;2;3;4;-90;170;270;350.04
Leirmo_Exp1_Build1_#36;1;36;3;3;4;90;270;270;350.04
Leirmo_Exp1_Build1_#37;1;37;1;1;5;25;70;70;449.76
Leirmo_Exp1_Build1_#38;1;38;2;1;5;10;170;70;449.76
Leirmo_Exp1_Build1_#39;1;39;3;1;5;-90;270;70;449.76
Leirmo_Exp1_Build1_#40;1;40;1;2;5;160;70;170;449.76
Leirmo_Exp1_Build1_#41;1;41;2;2;5;105;170;170;449.76
Leirmo_Exp1_Build1_#42;1;42;3;2;5;155;270;170;449.76
Leirmo_Exp1_Build1_#43;1;43;1;3;5;180;70;270;449.76
Leirmo_Exp1_Build1_#44;1;44;2;3;5;-90;170;270;449.76
Leirmo_Exp1_Build1_#45;1;45;3;3;5;50;270;270;449.76
Leirmo_Exp1_Build2_#1;2;1;1;1;1;85;70;70;50.88
Leirmo_Exp1_Build2_#2;2;2;2;1;1;155;170;70;50.88
Leirmo_Exp1_Build2_#3;2;3;3;1;1;-90;270;70;50.88
Leirmo_Exp1_Build2_#4;2;4;1;2;1;180;70;170;50.88
Leirmo_Exp1_Build2_#5;2;5;2;2;1;170;170;170;50.88
Leirmo_Exp1_Build2_#6;2;6;3;2;1;175;270;170;50.88
Leirmo_Exp1_Build2_#7;2;7;1;3;1;130;70;270;50.88
Leirmo_Exp1_Build2_#8;2;8;2;3;1;-90;170;270;50.88
Leirmo_Exp1_Build2_#9;2;9;3;3;1;20;270;270;50.88
Leirmo_Exp1_Build2_#10;2;10;1;1;2;5;70;70;150.6
Leirmo_Exp1_Build2_#11;2;11;2;1;2;30;170;70;150.6
Leirmo_Exp1_Build2_#12;2;12;3;1;2;0;270;70;150.6
Leirmo_Exp1_Build2_#13;2;13;1;2;2;150;70;170;150.6
Leirmo_Exp1_Build2_#14;2;14;2;2;2;100;170;170;150.6
Leirmo_Exp1_Build2_#15;2;15;3;2;2;145;270;170;150.6
Leirmo_Exp1_Build2_#16;2;16;1;3;2;135;70;270;150.6
Leirmo_Exp1_Build2_#17;2;17;2;3;2;-90;170;270;150.6
Leirmo_Exp1_Build2_#18;2;18;3;3;2;140;270;270;150.6
Leirmo_Exp1_Build2_#19;2;19;1;1;3;115;70;70;250.32
Leirmo_Exp1_Build2_#20;2;20;2;1;3;55;170;70;250.32
Leirmo_Exp1_Build2_#21;2;21;3;1;3;-90;270;70;250.32
Leirmo_Exp1_Build2_#22;2;22;1;2;3;65;70;170;250.32
Leirmo_Exp1_Build2_#23;2;23;2;2;3;95;170;170;250.32
Leirmo_Exp1_Build2_#24;2;24;3;2;3;120;270;170;250.32
Leirmo_Exp1_Build2_#25;2;25;1;3;3;10;70;270;250.32
Leirmo_Exp1_Build2_#26;2;26;2;3;3;-90;170;270;250.32
Leirmo_Exp1_Build2_#27;2;27;3;3;3;50;270;270;250.32
Leirmo_Exp1_Build2_#28;2;28;1;1;4;25;70;70;350.04
Leirmo_Exp1_Build2_#29;2;29;2;1;4;160;170;70;350.04
Leirmo_Exp1_Build2_#30;2;30;3;1;4;70;270;70;350.04
Leirmo_Exp1_Build2_#31;2;31;1;2;4;80;70;170;350.04
Leirmo_Exp1_Build2_#32;2;32;2;2;4;40;170;170;350.04
Leirmo_Exp1_Build2_#33;2;33;3;2;4;45;270;170;350.04
Leirmo_Exp1_Build2_#34;2;34;1;3;4;15;70;270;350.04
Leirmo_Exp1_Build2_#35;2;35;2;3;4;-90;170;270;350.04
Leirmo_Exp1_Build2_#36;2;36;3;3;4;90;270;270;350.04
Leirmo_Exp1_Build2_#37;2;37;1;1;5;110;70;70;449.76
Leirmo_Exp1_Build2_#38;2;38;2;1;5;60;170;70;449.76
Leirmo_Exp1_Build2_#39;2;39;3;1;5;-90;270;70;449.76
Leirmo_Exp1_Build2_#40;2;40;1;2;5;125;70;170;449.76
Leirmo_Exp1_Build2_#41;2;41;2;2;5;105;170;170;449.76
Leirmo_Exp1_Build2_#42;2;42;3;2;5;75;270;170;449.76
Leirmo_Exp1_Build2_#43;2;43;1;3;5;35;70;270;449.76
Leirmo_Exp1_Build2_#44;2;44;2;3;5;-90;170;270;449.76
Leirmo_Exp1_Build2_#45;2;45;3;3;5;165;270;270;449.76
Leirmo_Exp1_Build3_#1;3;1;1;1;1;165;70;70;50.88
Leirmo_Exp1_Build3_#2;3;2;2;1;1;140;170;70;50.88
Leirmo_Exp1_Build3_#3;3;3;3;1;1;-90;270;70;50.88
Leirmo_Exp1_Build3_#4;3;4;1;2;1;75;70;170;50.88
Leirmo_Exp1_Build3_#5;3;5;2;2;1;95;170;170;50.88
Leirmo_Exp1_Build3_#6;3;6;3;2;1;10;270;170;50.88
Leirmo_Exp1_Build3_#7;3;7;1;3;1;0;70;270;50.88
Leirmo_Exp1_Build3_#8;3;8;2;3;1;-90;170;270;50.88
Leirmo_Exp1_Build3_#9;3;9;3;3;1;40;270;270;50.88
Leirmo_Exp1_Build3_#10;3;10;1;1;2;150;70;70;150.6
Leirmo_Exp1_Build3_#11;3;11;2;1;2;20;170;70;150.6
Leirmo_Exp1_Build3_#12;3;12;3;1;2;15;270;70;150.6
Leirmo_Exp1_Build3_#13;3;13;1;2;2;160;70;170;150.6
Leirmo_Exp1_Build3_#14;3;14;2;2;2;170;170;170;150.6
Leirmo_Exp1_Build3_#15;3;15;3;2;2;45;270;170;150.6
Leirmo_Exp1_Build3_#16;3;16;1;3;2;110;70;270;150.6
Leirmo_Exp1_Build3_#17;3;17;2;3;2;-90;170;270;150.6
Leirmo_Exp1_Build3_#18;3;18;3;3;2;85;270;270;150.6
Leirmo_Exp1_Build3_#19;3;19;1;1;3;135;70;70;250.32
Leirmo_Exp1_Build3_#20;3;20;2;1;3;50;170;70;250.32
Leirmo_Exp1_Build3_#21;3;21;3;1;3;-90;270;70;250.32
Leirmo_Exp1_Build3_#22;3;22;1;2;3;125;70;170;250.32
Leirmo_Exp1_Build3_#23;3;23;2;2;3;180;170;170;250.32
Leirmo_Exp1_Build3_#24;3;24;3;2;3;100;270;170;250.32
Leirmo_Exp1_Build3_#25;3;25;1;3;3;30;70;270;250.32
Leirmo_Exp1_Build3_#26;3;26;2;3;3;-90;170;270;250.32
Leirmo_Exp1_Build3_#27;3;27;3;3;3;115;270;270;250.32
Leirmo_Exp1_Build3_#28;3;28;1;1;4;105;70;70;350.04
Leirmo_Exp1_Build3_#29;3;29;2;1;4;65;170;70;350.04
Leirmo_Exp1_Build3_#30;3;30;3;1;4;120;270;70;350.04
Leirmo_Exp1_Build3_#31;3;31;1;2;4;25;70;170;350.04
Leirmo_Exp1_Build3_#32;3;32;2;2;4;55;170;170;350.04
Leirmo_Exp1_Build3_#33;3;33;3;2;4;70;270;170;350.04
Leirmo_Exp1_Build3_#34;3;34;1;3;4;60;70;270;350.04
Leirmo_Exp1_Build3_#35;3;35;2;3;4;-90;170;270;350.04
Leirmo_Exp1_Build3_#36;3;36;3;3;4;35;270;270;350.04
Leirmo_Exp1_Build3_#37;3;37;1;1;5;145;70;70;449.76
Leirmo_Exp1_Build3_#38;3;38;2;1;5;80;170;70;449.76
Leirmo_Exp1_Build3_#39;3;39;3;1;5;-90;270;70;449.76
Leirmo_Exp1_Build3_#40;3;40;1;2;5;5;70;170;449.76
Leirmo_Exp1_Build3_#41;3;41;2;2;5;155;170;170;449.76
Leirmo_Exp1_Build3_#42;3;42;3;2;5;90;270;170;449.76
Leirmo_Exp1_Build3_#43;3;43;1;3;5;130;70;270;449.76
Leirmo_Exp1_Build3_#44;3;44;2;3;5;-90;170;270;449.76
Leirmo_Exp1_Build3_#45;3;45;3;3;5;175;270;270;449.76
